Date,Irradiance 0,Ambient Temperature 0,Irradiance 1,Ambient Temperature 1,Irradiance 2,Ambient Temperature 2,Irradiance 3,Ambient Temperature 3
2020-01-01 08:00:00,200,25,200,25,200,25,200,25
2020-01-01 08:01:00,200,25,200,25,200,25,200,25
2020-01-01 08:02:00,200,25,200,25,200,25,200,25
2020-01-01 08:03:00,200,25,200,25,200,25,200,25
2020-01-01 08:04:00,200,25,200,25,200,25,200,25
2020-01-01 08:05:00,200,25,200,25,200,25,200,25
2020-01-01 08:06:00,200,25,200,25,200,25,200,25
2020-01-01 08:07:00,200,25,200,25,200,25,200,25
2020-01-01 08:08:00,200,25,200,25,200,25,200,25
2020-01-01 08:09:00,200,25,200,25,200,25,200,25
2020-01-01 08:10:00,200,25,200,25,200,25,200,25
2020-01-01 08:11:00,200,25,200,25,200,25,200,25
2020-01-01 08:12:00,200,25,200,25,200,25,200,25
2020-01-01 08:13:00,200,25,200,25,200,25,200,25
2020-01-01 08:14:00,200,25,200,25,200,25,200,25
2020-01-01 08:15:00,200,25,200,25,200,25,200,25
2020-01-01 08:16:00,200,25,200,25,200,25,200,25
2020-01-01 08:17:00,200,25,200,25,200,25,200,25
2020-01-01 08:18:00,200,25,200,25,200,25,200,25
2020-01-01 08:19:00,200,25,200,25,200,25,200,25
2020-01-01 08:20:00,200,25,200,25,200,25,200,25
2020-01-01 08:21:00,200,25,200,25,200,25,200,25
2020-01-01 08:22:00,200,25,200,25,200,25,200,25
2020-01-01 08:23:00,200,25,200,25,200,25,200,25
2020-01-01 08:24:00,200,25,200,25,200,25,200,25
2020-01-01 08:25:00,200,25,200,25,200,25,200,25
2020-01-01 08:26:00,200,25,200,25,200,25,200,25
2020-01-01 08:27:00,200,25,200,25,200,25,200,25
2020-01-01 08:28:00,200,25,200,25,200,25,200,25
2020-01-01 08:29:00,200,25,200,25,200,25,200,25
2020-01-01 08:30:00,200,25,200,25,200,25,200,25
2020-01-01 08:31:00,200,25,200,25,200,25,200,25
2020-01-01 08:32:00,200,25,200,25,200,25,200,25
2020-01-01 08:33:00,200,25,200,25,200,25,200,25
2020-01-01 08:34:00,200,25,200,25,200,25,200,25
2020-01-01 08:35:00,200,25,200,25,200,25,200,25
2020-01-01 08:36:00,200,25,200,25,200,25,200,25
2020-01-01 08:37:00,200,25,200,25,200,25,200,25
2020-01-01 08:38:00,200,25,200,25,200,25,200,25
